Priority,Requirements,Suitable solution to dummy the functionality,Advantages,LBG Comments/Suggestions
P0,Landing page with natural language input,"Create a simple landing page where user types car need, budget, usage, family/business purpose.",Quickly tests whether users like conversational car discovery.,
P0,Capture customer need/questions,"Use predefined questions plus free-text input: budget, mileage, fuel, monthly payment, deposit, location.",Gives useful interview data and validates buying intent.,
P0,Display 9–12 car recommendations,Use mocked car catalogue from backend JSON/database and filter using basic rules.,Shows the core Autotrader-like experience without real integrations.,
P0,Inventory catalogue from Lex,"Create dummy Lex inventory dataset with 100–300 cars: price, mileage, location, availability, features.",Avoids waiting for real ETL/API work while testing the idea.,
P0,Near real-time availability simulation,"Add simple status values: Available, Reserved, Sold. Update manually or by scheduled mock script.",Demonstrates inventory freshness without full real-time integration.,
P0,Handle API and no-API inventory sources,Show two mocked flows: API source updates automatically; non-API source uses CSV upload/manual import.,Helps bank understand practical integration options and cost levels.,
P1,Multi-source inventory recommendation,Combine mock Lex data + mock BCA/auction data in one backend catalogue.,Demonstrates wider stock options without real supplier dependency.,
P1,Personalized recommendations,"Use rule-based scoring based on budget, usage, family size, preference, finance comfort.",Delivers “advisor-like” recommendations with low development effort.,
P1,Recommendation categories,"Label cars as Best Value, Comfort Choice, Low Monthly Cost, Premium Option, Family Friendly.","Makes recommendations feel intelligent, not generic.",
P1,Memorize user preferences,"Store user choices in browser/local database/session: viewed cars, rejected cars, preferred budget.",Simulates learning behaviour without building advanced AI memory.,
P1,Dynamic recommendation updates,"When user changes budget, deposit, car type, fuel, or mileage, refresh recommendations instantly.",Tests whether users value flexible discovery and guidance.,
P1,Finance comparison,"Build simple finance calculator with deposit, duration, interest rate, monthly payment.",Demonstrates finance experience without lender integration.,
P1,Side-by-side finance options,"Show 2–3 finance plans per car: low deposit, low monthly payment, shorter term.",Helps users compare affordability clearly.,
P1,Finance tweaking,"Add sliders/dropdowns for deposit, term, interest rate, mileage, balloon payment if needed.",Makes finance feel realistic and interactive.,
P2,Reliable advisor positioning,Add explanation text: “Why this car suits you” and “What to consider before buying.”,Avoids looking like a hard sales platform.,
P2,Car comparison,"Allow users to compare 2–3 shortlisted cars on price, mileage, finance, features, availability.",Improves customer confidence and decision-making.,
P2,Upsell/cross-sell options,"Add mock add-ons: insurance, breakdown cover, warranty, service plan.",Tests revenue expansion potential without third-party integration.,
P2,DocuSign/legal flow,Add dummy “Proceed to paperwork” button and mocked DocuSign screen/link.,Shows end-to-end purchase journey without legal integration effort.,
P2,Analytics for MVP learning,"Track clicks, searches, shortlisted cars, finance changes, drop-off points.","Gives evidence on customer behaviour, not just interview opinions.",
P3,Admin inventory upload,Provide simple CSV upload or hardcoded admin page to refresh mock inventory.,Demonstrates operational feasibility with minimal backend work.,
P3,Basic integration architecture view,"Prepare a simple architecture diagram showing API, CSV, mock backend, recommendation engine, finance calculator.",Helps stakeholders understand future scaling path.,
P3,Production-readiness disclaimer,"Clearly mark inventory, finance, and add-ons as simulated for MVP testing.",Avoids misleading users and keeps the MVP legally safer.,
