Priority,Requirements,Suitable solution to dummy the functionality,Advantages,Data / Technical Information Required from Lloyds,LBG Comments/Suggestions
P0,Landing page with natural language input,"Create a simple landing page where user types car need, budget, usage, family/business purpose.",Quickly tests whether users like conversational car discovery.,"Approved customer-needs questions, customer segments/personas, existing journey fields, consent wording, and any brand/compliance rules for data capture.",
P0,Capture customer need/questions,"Use predefined questions plus free-text input: budget, mileage, fuel, monthly payment, deposit, location.",Gives useful interview data and validates buying intent.,"Required affordability and preference fields: budget, deposit, mileage, usage, location, trade-in, employment/income assumptions, and mandatory consent fields.",
P0,Display 9–12 car recommendations,Use mocked car catalogue from backend JSON/database and filter using basic rules.,Shows the core Autotrader-like experience without real integrations.,"Sample real inventory feed with vehicle ID, make/model, trim, price, mileage, images, location, availability, finance-eligible flag, and field definitions.",
P0,Inventory catalogue from Lex,"Create dummy Lex inventory dataset with 100–300 cars: price, mileage, location, availability, features.",Avoids waiting for real ETL/API work while testing the idea.,"Lex source system owner, data extract/API/CSV option, data dictionary, refresh frequency, vehicle status lifecycle, and source-of-truth availability process.",
P0,Near real-time availability simulation,"Add simple status values: Available, Reserved, Sold. Update manually or by scheduled mock script.",Demonstrates inventory freshness without full real-time integration.,"Availability rules for Available/Reserved/Sold, reservation SLA, checkout hold period, update frequency, manual override process, and ownership of stock accuracy.",
P0,Handle API and no-API inventory sources,Show two mocked flows: API source updates automatically; non-API source uses CSV upload/manual import.,Helps bank understand practical integration options and cost levels.,"For each source: API/SFTP/CSV availability, credentials/sandbox, file format, update schedule, error handling process, and technical contact.",
P1,Multi-source inventory recommendation,Combine mock Lex data + mock BCA/auction data in one backend catalogue.,Demonstrates wider stock options without real supplier dependency.,"Lex plus BCA/auction fields, supplier access method, mapping/de-duplication rules, stock confidence level, and pricing/availability update process.",
P1,Personalized recommendations,"Use rule-based scoring based on budget, usage, family size, preference, finance comfort.",Delivers “advisor-like” recommendations with low development effort.,"Business-agreed recommendation factors and weights: affordability, usage, family/business need, comfort, emissions, monthly payment, location, and customer priority.",
P1,Recommendation categories,"Label cars as Best Value, Comfort Choice, Low Monthly Cost, Premium Option, Family Friendly.","Makes recommendations feel intelligent, not generic.","Approved definitions and thresholds for Best Value, Comfort Choice, Low Monthly Cost, Premium Option, Family Friendly, plus compliance-approved explanation wording.",
P1,Memorize user preferences,"Store user choices in browser/local database/session: viewed cars, rejected cars, preferred budget.",Simulates learning behaviour without building advanced AI memory.,"Consent model, what behaviour can be stored, user/session ID approach, retention period, preference-change rules, and GDPR/privacy constraints.",
P1,Dynamic recommendation updates,"When user changes budget, deposit, car type, fuel, or mileage, refresh recommendations instantly.",Tests whether users value flexible discovery and guidance.,"Which fields can change live, recalculation triggers, API/quote latency expectations, finance/inventory refresh rules, and fallback behaviour if data is stale.",
P1,Finance comparison,"Build simple finance calculator with deposit, duration, interest rate, monthly payment.",Demonstrates finance experience without lender integration.,"Real finance product types, APR/rate bands, deposit and term limits, fees, eligibility assumptions, representative example rules, and calculation method/API availability.",
P1,Side-by-side finance options,"Show 2–3 finance plans per car: low deposit, low monthly payment, shorter term.",Helps users compare affordability clearly.,"Approved finance scenarios, quote output fields, total payable, monthly payment, deposit, duration, APR, fees, and mandatory finance disclosures.",
P1,Finance tweaking,"Add sliders/dropdowns for deposit, term, interest rate, mileage, balloon payment if needed.",Makes finance feel realistic and interactive.,"Allowed min/max values for deposit, term, mileage, balloon/payment options, affordability guardrails, recalculation formula/API, and credit-check boundary.",
P2,Reliable advisor positioning,Add explanation text: “Why this car suits you” and “What to consider before buying.”,Avoids looking like a hard sales platform.,"Compliance-approved advice boundaries, disclaimers, explanation logic, sales handoff rules, and wording that avoids regulated financial advice risk.",
P2,Car comparison,"Allow users to compare 2–3 shortlisted cars on price, mileage, finance, features, availability.",Improves customer confidence and decision-making.,"Official vehicle attributes to compare, feature taxonomy, running cost/valuation fields, image source, warranty details, and finance-comparison fields.",
P2,Upsell/cross-sell options,"Add mock add-ons: insurance, breakdown cover, warranty, service plan.",Tests revenue expansion potential without third-party integration.,"Approved add-on products, provider details, pricing, eligibility, commission/commercial rules, integration method, and compliance wording.",
P2,DocuSign/legal flow,Add dummy “Proceed to paperwork” button and mocked DocuSign screen/link.,Shows end-to-end purchase journey without legal integration effort.,"Required legal documents, templates, signing order, DocuSign/sandbox access, customer identity checks, storage location, and legal/compliance approvals.",
P2,Analytics for MVP learning,"Track clicks, searches, shortlisted cars, finance changes, drop-off points.","Gives evidence on customer behaviour, not just interview opinions.","Event tracking taxonomy, funnel KPIs, user feedback questions, PII rules, dashboard format, analytics tool preference, and reporting owner.",
P3,Admin inventory upload,Provide simple CSV upload or hardcoded admin page to refresh mock inventory.,Demonstrates operational feasibility with minimal backend work.,"CSV template, required/optional fields, validation rules, upload owner, refresh cadence, sample files, and rejection/error process.",
P3,Basic integration architecture view,"Prepare a simple architecture diagram showing API, CSV, mock backend, recommendation engine, finance calculator.",Helps stakeholders understand future scaling path.,"Target system landscape, data owners, integration standards, security requirements, test environment availability, access request process, and technical contacts.",
P3,Production-readiness disclaimer,"Clearly mark inventory, finance, and add-ons as simulated for MVP testing.",Avoids misleading users and keeps the MVP legally safer.,"Approved prototype disclaimer, internal/external user-testing boundaries, compliance constraints, data-use limits, and customer consent wording.",
